Date,TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches)
3/30/2007,65.0,44.0,0.0
3/31/2007,64.0,47.0,0.0
4/1/2007,62.0,46.0,0.02
4/2/2007,78.0,55.0,0.0
4/3/2007,81.0,61.0,0.07
4/4/2007,73.0,43.0,0.27
4/5/2007,47.0,32.0,0.0
4/6/2007,46.0,31.0,0.03
4/7/2007,39.0,26.0,0.15
4/8/2007,43.0,25.0,0.0
4/9/2007,47.0,30.0,0.0
4/10/2007,55.0,35.0,0.0
4/11/2007,44.0,36.0,0.96
4/12/2007,65.0,41.0,0.29
4/13/2007,60.0,40.0,0.0
4/14/2007,47.0,40.0,0.32
4/15/2007,49.0,40.0,1.57
4/16/2007,49.0,37.0,0.0
4/17/2007,61.0,44.0,0.0
4/18/2007,54.0,43.0,0.0
4/19/2007,52.0,43.0,0.0
4/20/2007,69.0,44.0,0.0
4/21/2007,75.0,56.0,0.0
4/22/2007,80.0,58.0,0.0
4/23/2007,81.0,62.0,0.0
4/24/2007,79.0,65.0,0.0
4/25/2007,81.0,58.0,0.0
4/26/2007,61.0,49.0,0.05
4/27/2007,70.0,51.0,0.28
4/28/2007,68.0,54.0,0.0
4/29/2007,74.0,55.0,0.0
4/30/2007,84.0,64.0,0.0
5/1/2007,84.0,60.0,0.0
5/2/2007,84.0,61.0,0.06
5/3/2007,61.0,49.0,0.29
5/4/2007,62.0,48.0,0.0
5/5/2007,60.0,52.0,0.04
5/6/2007,59.0,45.0,0.0
5/7/2007,63.0,37.0,0.0
5/8/2007,69.0,43.0,0.0
5/9/2007,76.0,56.0,0.0
5/10/2007,76.0,61.0,0.0
5/11/2007,81.0,65.0,0.09
5/12/2007,75.0,61.0,0.09
5/13/2007,66.0,54.0,0.04
5/14/2007,70.0,52.0,0.0
5/15/2007,80.0,52.0,0.0
5/16/2007,78.0,58.0,0.11
5/17/2007,64.0,50.0,0.02
5/18/2007,51.0,46.0,0.61
5/19/2007,67.0,46.0,0.0
5/20/2007,79.0,56.0,0.0
5/21/2007,72.0,60.0,0.0
5/22/2007,73.0,57.0,0.0
5/23/2007,73.0,56.0,0.0
5/24/2007,76.0,54.0,0.0
5/25/2007,81.0,62.0,0.0
5/26/2007,83.0,69.0,0.0
5/27/2007,82.0,67.0,0.07
5/28/2007,85.0,64.0,0.89
5/29/2007,78.0,63.0,0.0
5/30/2007,80.0,67.0,0.0
5/31/2007,82.0,63.0,0.0
6/1/2007,82.0,65.0,0.0
6/2/2007,80.0,65.0,0.0
6/3/2007,67.0,61.0,1.41
6/4/2007,80.0,60.0,0.0
6/5/2007,76.0,66.0,0.0
6/6/2007,74.0,59.0,0.0
6/7/2007,83.0,58.0,0.0
6/8/2007,89.0,68.0,0.67
6/9/2007,82.0,68.0,0.0
6/10/2007,77.0,62.0,0.0
6/11/2007,78.0,64.0,0.09
6/12/2007,80.0,60.0,0.39
6/13/2007,78.0,60.0,0.11
6/14/2007,62.0,55.0,0.28
6/15/2007,62.0,55.0,0.0
6/16/2007,73.0,56.0,0.0
6/17/2007,82.0,64.0,0.0
6/18/2007,88.0,73.0,0.0
6/19/2007,87.0,68.0,0.44
6/20/2007,79.0,65.0,0.31
6/21/2007,80.0,61.0,0.0
6/22/2007,75.0,64.0,0.0
6/23/2007,76.0,59.0,0.0
6/24/2007,76.0,63.0,0.04
6/25/2007,79.0,65.0,0.09
6/26/2007,85.0,65.0,0.0
6/27/2007,89.0,72.0,0.0
6/28/2007,87.0,71.0,0.01
6/29/2007,81.0,68.0,1.19
6/30/2007,76.0,67.0,0.03
7/1/2007,75.0,62.0,0.0
7/2/2007,74.0,57.0,0.0
7/3/2007,76.0,62.0,0.0
7/4/2007,82.0,62.0,0.0
7/5/2007,79.0,68.0,0.0
7/6/2007,85.0,68.0,0.0
7/7/2007,86.0,70.0,0.0
7/8/2007,88.0,70.0,0.0
7/9/2007,91.0,73.0,0.0
7/10/2007,85.0,69.0,0.35
7/11/2007,81.0,70.0,0.08
7/12/2007,79.0,65.0,0.0
7/13/2007,77.0,65.0,0.0
7/14/2007,81.0,65.0,0.0
7/15/2007,87.0,64.0,0.0
7/16/2007,85.0,65.0,0.28
7/17/2007,84.0,69.0,0.0
7/18/2007,86.0,67.0,0.0
7/19/2007,87.0,71.0,0.08
7/20/2007,80.0,66.0,0.0
7/21/2007,77.0,62.0,0.0
7/22/2007,80.0,62.0,0.0
7/23/2007,80.0,62.0,0.0
7/24/2007,77.0,61.0,0.0
7/25/2007,74.0,62.0,0.03
7/26/2007,85.0,65.0,0.0
7/27/2007,86.0,66.0,0.69
7/28/2007,84.0,68.0,0.0
7/29/2007,84.0,66.0,0.21
7/30/2007,81.0,65.0,0.0
7/31/2007,83.0,68.0,0.0
8/1/2007,86.0,69.0,0.0
8/2/2007,89.0,73.0,0.0
8/3/2007,89.0,71.0,0.0
8/4/2007,90.0,74.0,0.0
8/5/2007,85.0,70.0,0.38
8/6/2007,85.0,69.0,0.0
8/7/2007,89.0,77.0,0.0
8/8/2007,95.0,80.0,0.0
8/9/2007,94.0,71.0,0.16
8/10/2007,91.0,70.0,0.0
8/11/2007,83.0,68.0,0.0
8/12/2007,87.0,65.0,0.0
8/13/2007,88.0,70.0,0.0
8/14/2007,83.0,65.0,0.0
8/15/2007,88.0,67.0,0.0
8/16/2007,96.0,69.0,0.72
8/17/2007,89.0,68.0,0.03
8/18/2007,78.0,65.0,0.0
8/19/2007,84.0,62.0,0.25
8/20/2007,68.0,62.0,0.13
8/21/2007,81.0,64.0,0.39
8/22/2007,69.0,63.0,0.01
8/23/2007,72.0,65.0,0.02
8/24/2007,88.0,69.0,0.03
8/25/2007,92.0,68.0,0.88
8/26/2007,81.0,67.0,0.12
8/27/2007,80.0,65.0,0.0
8/28/2007,81.0,67.0,0.0
8/29/2007,79.0,67.0,0.0
8/30/2007,80.0,66.0,0.0
8/31/2007,82.0,67.0,0.0
9/1/2007,76.0,62.0,0.0
9/2/2007,79.0,61.0,0.0
9/3/2007,83.0,65.0,0.0
9/4/2007,84.0,67.0,0.0
9/5/2007,87.0,68.0,0.0
9/6/2007,87.0,65.0,0.0
9/7/2007,87.0,67.0,0.0
9/8/2007,88.0,65.0,0.0
9/9/2007,85.0,64.0,0.0
9/10/2007,86.0,70.0,0.02
9/11/2007,78.0,69.0,0.03
9/12/2007,78.0,62.0,0.0
9/13/2007,76.0,60.0,0.0
9/14/2007,71.0,62.0,0.26
9/15/2007,71.0,51.0,0.0
9/16/2007,65.0,46.0,0.0
9/17/2007,68.0,47.0,0.0
9/18/2007,70.0,51.0,0.0
9/19/2007,74.0,52.0,0.0
9/20/2007,72.0,58.0,0.0
9/21/2007,77.0,62.0,0.0
9/22/2007,87.0,66.0,0.0
9/23/2007,84.0,67.0,0.0
9/24/2007,82.0,62.0,0.0
9/25/2007,88.0,66.0,0.0
9/26/2007,89.0,67.0,0.0
9/27/2007,85.0,64.0,0.0
9/28/2007,78.0,60.0,0.0
9/29/2007,73.0,54.0,0.0
9/30/2007,75.0,55.0,0.0
10/1/2007,73.0,57.0,0.0
10/2/2007,76.0,59.0,0.0
10/3/2007,81.0,60.0,0.0
10/4/2007,85.0,65.0,0.0
10/5/2007,80.0,66.0,0.0
10/6/2007,80.0,67.0,0.01
10/7/2007,88.0,69.0,0.0
10/8/2007,87.0,69.0,0.0
10/9/2007,90.0,73.0,0.0
10/10/2007,80.0,60.0,0.0
10/11/2007,61.0,49.0,0.0
10/12/2007,66.0,48.0,0.0
10/13/2007,66.0,49.0,0.0
10/14/2007,69.0,50.0,0.0
10/15/2007,73.0,52.0,0.0
10/16/2007,78.0,57.0,0.0
10/17/2007,79.0,58.0,0.0
10/18/2007,76.0,61.0,0.0
10/19/2007,71.0,60.0,0.32
10/20/2007,71.0,59.0,0.0
10/21/2007,75.0,58.0,0.0
10/22/2007,76.0,57.0,0.0
10/23/2007,72.0,62.0,0.0
10/24/2007,70.0,50.0,1.86
10/25/2007,50.0,49.0,0.42
10/26/2007,56.0,50.0,1.57
10/27/2007,67.0,52.0,0.26
10/28/2007,57.0,41.0,0.0
10/29/2007,55.0,37.0,0.0
10/30/2007,61.0,41.0,0.0
10/31/2007,66.0,50.0,0.0
11/1/2007,71.0,48.0,0.0
11/2/2007,54.0,39.0,0.0
11/3/2007,62.0,38.0,0.0
11/4/2007,55.0,44.0,0.0
11/5/2007,59.0,44.0,0.0
11/6/2007,54.0,38.0,0.0
11/7/2007,50.0,36.0,0.0
11/8/2007,45.0,33.0,0.0
11/9/2007,46.0,35.0,0.0
11/10/2007,46.0,36.0,0.15
11/11/2007,51.0,36.0,0.0
11/12/2007,64.0,39.0,0.03
11/13/2007,64.0,54.0,0.0
11/14/2007,66.0,51.0,0.0
